label,gloss
gloss_1180,현금1
gloss_1181,혈안1
gloss_1182,형1
gloss_1183,호박1
gloss_1184,혹시1
gloss_1185,혼자1
gloss_1186,홈쇼핑
gloss_1187,화덕
gloss_1188,화들짝1
gloss_1189,화살1
gloss_1190,화학1
gloss_1191,확실하다1
gloss_1192,환기6
gloss_1193,환기7
gloss_1194,활동1
gloss_1195,황홀1
gloss_1196,황홀2
gloss_1197,회
gloss_1198,회1
gloss_1199,회사1
gloss_1200,회원1
gloss_1201,훌륭하다2
gloss_1202,휠체어1
gloss_1203,흙1
gloss_1204,힘1
gloss_1205,힘들다1
